labels,sentences
1,讨厌 情绪 假笑 感觉
1,不想 醒来 睡 更好 真的 很 悲哀
1,1048 穿 上 胸罩 牛仔裤 算是 穿衣服 脱掉 长袍 梳头 情绪低落 暂时 提升 希望 我能 享受
1,2012 年 12 月 26 日至 2013 年 1 月 12 日 一生 中 最 糟糕 18 天
1,6 年 积蓄 视力 很 兴奋 刚刚 发现 候选人
1,百分之六七 十 痛苦 来源于 父亲
1,悲伤 辣 大
1,想 死 想 结束 痛苦
1,躯体 化 症状 都
1,回国 自杀
1,第一次 割到 肉 分开 皮 组织
1,都 怪 都 错 我活 世界 上 错误
1,焦虑 烦
1,感觉 医生 咨询师 说 不 明白 每次 看 医生 咨询师 都 不想 说 只 说 很 好 不好 感觉 看 医生 咨询师 没用 不想 看 想 封闭 不想 任何人 说
1,高中 剪头发 办法 真的 剪 不了 剪 真的 会 情况 更差 学校 说 会 劝 退学 看好 生病 染 头发 办法 呜呜 呜呜 真的 很 难受
1,好烦 感觉 爆炸
1,很久没 难受
1,很困 睡不着
1,很 想 死 一了百了
1,每次 生日 都 会 发生 不 开心 事情
1,明天 复学 好 紧张
1,明天 去 开药 不想 说 只 想 说 很 好 想 哭 哭怕 眼睛 肿 真的 很 不想 看 医生 做 咨询
1,难受
1,伤口 结痂 肿 结痂 弄掉 流脓 露出 肉
1,才能 死 不 开 安眠药 真的 想吞药
1,勇气 跳下去
1,事情 一件 一件 呼吸
1,死 才能 解放
1,头痛 感觉 随时 都 会 倒下
1,胃 胀气 反酸 头晕 手指 脚趾 痒 尿频 走路 僵硬 感觉 走路 都 躯体 化
1,好像 永远 都 解决不了
1,不该 不 开心 不该 难过 不该 生气 做 都 错
1,不 开心
1,到底 做 做 才 每件事 都 搞砸
1,很 难受 很 想 死 不 很 难受 想 去 天台
1,人生 不
1,不
1,死 家里 负担
1,想 说 真的 很 难受
1,想 自杀
1,我要 不
1,没救
1,真的 撑不住 不
1,真的 烦到 快要 爆炸
1,真的 难过 难受
1,真的 很 崩溃 很想 自杀
1,真的 想 跳下去
1,真的 不
1,一团乱麻 生活
1,闲下来 想七想 八 很 烦躁
1,生活 赶鸭子上架
1,哭 不 会 一遍 一遍 割腕 责备 不割 深 一点 死 掉
1,新加坡 旅行 想 跳楼 想 药 一口气 吃 完 不想 看 医生 不想 做 咨询
1,判断 到底 程度 一年 诊断 写 抑郁 发作
1,世上 没什么 值得 留恋
1,老是 腿软 走路 感觉 没 力气 走路 好 僵硬 感觉 走路 躯体 化
1,昨天 明明 梦到 超级 彩虹 十六岁 第一天 一点 都 变 好 生活 越来越 糟糕
1,好 难过 悲伤 恶心 想 吐 心脏 疼想 想 哭 呼吸 痛苦 撕裂 晚上 待会儿 一节 哲学 课 一节 塔罗 课 无缝 衔接 手机 快 没电 活着 好累 好 痛苦 日常 想 死 一具 麻 干尸
1,误诊 双相 好转 回归 诊断 重抑 真的 好累 很 努力 不 还会 样子 睡不着 笑容 背后 都 鲜血 解释 很 无力 东西 一个 人 在乎 或许 一切都是 应得 说 崩溃 很 稳定 抓住 情绪稳定 说 全文
1,事情 妈妈 说 姐姐 上 大学 只用 八万 治 搬出 宿舍 来来回回 复查 吃药 吃 最 便宜 药 多用 几万 父亲 一个劲 贬低 说 软弱无能 每次 听到 都 一种 溺水 感觉 好 想 逃离
1,领导 同事 天堂 太 讨厌 傻 逼 同事 太 讨厌 太 恶心 不去 死
1,不 做 错 都 好 糟糕 好想哭 我该
1,很 早就 想 分享 算是 治病 过程 太懒 拖 大概 写 一点 慢慢 写 2019 年 3 月 西安 西京医院 确诊 中度 抑郁 轻度 焦虑 西京医院 挂号 诊断 流程 见 置顶 微博 患病 原因 多重 家庭 原因 外 大概 16 年 出 一场 大 车祸 人 没事 全文
1,无语 极致 这年头 为啥 想 结束 咨询 都 难 为啥 说 起码 讨论 七八次 还要 拖到 年 后 不 喜欢 过年 不想 连个 年 都 想着 沟通 真的 表达 得够 新 咨询师 找 好 说 好 约 第一次 烦死 烦死 烦死 沙 豆沙 都 等待 世界 毁灭
1,213 郁期 记录
1,宝子们 女神 节 快乐 无论是 性别 都 值得 好好 爱 问 有人 懂 感觉 或许 宣判 断头台 上 亲吻 地面 痛苦 躯体 化同 抱抱
1,不想 吃饭 几天 真的 死 活 死 煎熬 自我 折磨 形容 有过 委屈 无奈 崩溃 愤怒 自责 倔强 却 没想 放弃 平静 地想 说 明白 伤害 从来不 一个 影子 背后 用心 讨厌 一副 置身事外 样子 或许 明天 去 见 想 告诉 全文
1,不想 吃药 1596 天 才 发现 嘴麻 草 乌甲素 原因 查 急性毒性 蛮 厉害 想 吞 丙 戊 酸钠 吃 疯狂 掉头发 三个 科室 药 都 不想 吃
1,总以为 那条 没 走 完 路 开满 鲜花
1,吃 快 四年 药 感觉 发作 解决不了 半死不活 忘 吃药 半死不活 痛苦 翻倍 效果 立竿见影 呼吸 忘记 吃药 极度 厌食 吃药 胃 疼 怀疑 人生 活 活不了 死 死不了 真的 太难 感觉 近一年来 全文
1,打打 删删 不 说 话 好 希望 真的 走出 家 希望 超话 发帖 希望 不 爱 伤心 希望 自由 充满希望 希望 再 亲人 伤害
1,大半夜 不发点 疯 发点情 都 都 对不起 夜晚 世界 好 奇怪 活着 人 死 里 逼 却 造出 一批 人来 劝 想 死 人 好好 活着 所有人 都 半死不活 上天 奇怪 想 活着 人 爱 人 活 却 想 死且 早已 腐烂 人 被迫 尽头 活着 交换 权利 都 全文
1,点 清醒 一个 废人 没药 活 有药 活不了 求生 求死 早就 不 奢望 幸福 只 渴望 痛苦 少 一点 到底 支撑 都 疑惑 痛苦 仅仅 爱
